hex_index,Annu_Mean_Temp,Annu_Prec,Species,index
81553ffffffffff,24.664332071940105,28.0,badger,RA
81583ffffffffff,28.285024007161457,407.0,badger,RA
8158bffffffffff,26.432322184244796,1094.0,badger,RA
8159bffffffffff,28.72100321451823,427.0,badger,RA
815d3ffffffffff,17.650101263994294,1753.7432455836508,badger,RA
8160bffffffffff,26.21628824869792,951.0,badger,RA
81633ffffffffff,25.421407884614915,126.46174832329204,badger,RA
81643ffffffffff,26.442190048247102,2072.527805269493,badger,RA
8164bffffffffff,25.786387125651043,939.0,badger,RA
81653ffffffffff,25.93896484375,2156.0,badger,RA
81657ffffffffff,23.409305437236814,2751.407335907336,badger,RA
8165bffffffffff,27.733983357747395,1298.0,badger,RA
81683ffffffffff,25.934932132234856,2336.085792940029,badger,RA
816a7ffffffffff,26.47902425130208,1026.0,badger,RA
816afffffffffff,21.22642517089844,1150.0,badger,RA
816b7ffffffffff,27.419474283854168,215.0,badger,RA
816bbffffffffff,25.85406494140625,1142.0,badger,RA
8175bffffffffff,25.669687906901043,2905.0,badger,RA
817a7ffffffffff,24.960245768229168,449.0,badger,RA
817afffffffffff,28.198130289713543,389.0,badger,RA
817b7ffffffffff,24.912372390807693,1026.848566842467,badger,RA
8182bffffffffff,23.367996215820312,1606.0,badger,RA
81833ffffffffff,22.650500324339056,791.8411161731208,badger,RA
818afffffffffff,26.389109293619796,2471.0,badger,RA
818b3ffffffffff,25.6031494140625,1142.0,badger,RA
818c3ffffffffff,21.99496465639033,2834.300168990283,badger,RA
818dbffffffffff,23.885988075968765,2235.4670360110804,badger,RA
81963ffffffffff,18.907028198242188,771.0,badger,RA
81967ffffffffff,19.436106363932293,883.0,badger,RA
8196bffffffffff,21.05224609375,512.0,badger,RA
81973ffffffffff,23.238683064778645,666.0,badger,RA
81977ffffffffff,24.17844645182292,265.0,badger,RA
8197bffffffffff,24.398757934570312,774.0,badger,RA
81acbffffffffff,21.87835693359375,326.0,badger,RA
81ad3ffffffffff,16.89890129025243,427.72556295992166,badger,RA
81adbffffffffff,20.301564534505207,144.0,badger,RA
81bc7ffffffffff,15.42791748046875,551.0,badger,RA
81bcfffffffffff,14.098810831705729,565.0,badger,RA
810e3ffffffffff,-6.589711507161458,356.0,hawk,TS
810fbffffffffff,-13.831324259440104,264.0,hawk,TS
81277ffffffffff,5.004984537760417,786.0,hawk,TS
81283ffffffffff,13.85203817659384,757.7039381427721,hawk,TS
8129bffffffffff,12.792439778645834,217.0,hawk,TS
81487ffffffffff,18.171565989619864,260.748171085992,hawk,TS
816a3ffffffffff,25.38714599609375,1275.0,hawk,TS
816afffffffffff,21.22642517089844,1150.0,hawk,TS
81a97ffffffffff,21.608540852864586,1332.0,hawk,TS
81cfbffffffffff,9.904454549153646,186.0,hawk,TS
81003ffffffffff,-7.579414522230734,176.01318681318682,hawk,RA
8100bffffffffff,-12.439200265066964,252.625,hawk,RA
81013ffffffffff,-0.0170332470832208,523.5955872387716,hawk,RA
81017ffffffffff,-7.034455885516999,377.3639534883721,hawk,RA
8101bffffffffff,-5.4379425048828125,310.0,hawk,RA
81023ffffffffff,-18.004745245444614,122.6206896551724,hawk,RA
81027ffffffffff,-17.526041666666668,245.0,hawk,RA
8102bffffffffff,-13.937567454512402,131.9069306930693,hawk,RA
8102fffffffffff,-15.528666178385416,87.0,hawk,RA
81043ffffffffff,-14.86690242706783,199.75396825396825,hawk,RA
8104bffffffffff,-15.807861328125,289.0,hawk,RA
